analysis_type	feature	score	n	n_feature_0	n_feature_1	effect	effect_label	statistic	p_value	fdr
subtype_probability_spearman	1q gain	XBP1_z	707			-0.04182795696552337	spearman_rho	-0.04182795696552337	0.26669689305684746	0.3821328616933934
subtype_probability_spearman	1q gain	JCHAIN_z	707			-0.32455656037472247	spearman_rho	-0.32455656037472247	8.342645613503748e-19	2.2882685111324564e-17
subtype_probability_spearman	PR	plasma_secretory_score_z	707			0.33987284471464696	spearman_rho	0.33987284471464696	1.4139512846991547e-20	5.429572933244754e-19
subtype_probability_spearman	PR	clinical_subtype_module_score_z	707			0.24099042810676308	spearman_rho	0.24099042810676308	8.448347866578702e-11	7.373103592650504e-10
subtype_probability_spearman	PR	TXNDC5_z	707			0.10645013984357585	spearman_rho	0.10645013984357585	0.0046041416799255	0.014257987137833807
subtype_probability_spearman	PR	POU2AF1_z	707			0.127178223244829	spearman_rho	0.127178223244829	0.0007004825522841498	0.0028019302091365993
subtype_probability_spearman	PR	XBP1_z	707			0.20138912422719005	spearman_rho	0.20138912422719005	6.635004184256487e-08	4.718225197693502e-07
subtype_probability_spearman	PR	JCHAIN_z	707			0.18330451209351772	spearman_rho	0.18330451209351772	9.248881201807647e-07	5.728339324990542e-06
subtype_probability_spearman	HRD, MYC, low NFkB	plasma_secretory_score_z	707			0.0980409989070186	spearman_rho	0.0980409989070186	0.009093142339323028	0.026057960136567485
subtype_probability_spearman	HRD, MYC, low NFkB	clinical_subtype_module_score_z	707			0.016851199125879478	spearman_rho	0.016851199125879478	0.6546560103227419	0.7664265486705272
subtype_probability_spearman	HRD, MYC, low NFkB	TXNDC5_z	707			0.018960752735592314	spearman_rho	0.018960752735592314	0.6147466523812324	0.7311050439590803
subtype_probability_spearman	HRD, MYC, low NFkB	POU2AF1_z	707			-0.0014820017342826077	spearman_rho	-0.0014820017342826077	0.9686225549025156	0.9712553232914789
subtype_probability_spearman	HRD, MYC, low NFkB	XBP1_z	707			0.0613140016387422	spearman_rho	0.0613140016387422	0.10332255420668092	0.17872009376290754
subtype_probability_spearman	HRD, MYC, low NFkB	JCHAIN_z	707			-0.03508320932597003	spearman_rho	-0.03508320932597003	0.3516052657446024	0.47975765727406927
subtype_probability_spearman	Low purity	plasma_secretory_score_z	707			-0.2569381531585276	spearman_rho	-0.2569381531585276	4.0180980817332624e-12	4.2859712871821466e-11
subtype_probability_spearman	Low purity	clinical_subtype_module_score_z	707			-0.04798899914731538	spearman_rho	-0.04798899914731538	0.20249384466772063	0.3104572111443578
subtype_probability_spearman	Low purity	TXNDC5_z	707			-0.3294768932704536	spearman_rho	-0.3294768932704536	2.308269546767471e-19	7.386462549655907e-18
subtype_probability_spearman	Low purity	POU2AF1_z	707			-0.0806511083511841	spearman_rho	-0.0806511083511841	0.03201930284586614	0.07318697793340832
